,tic,date,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
155,sh.600745,2020-04-22,2019-12-31,0.101159,3.311571,1.013188,0.908817,0.033175,0.936346,0.733956,0.048272
156,sh.600745,2020-04-30,2020-03-31,0.029653,2.902864,0.182287,0.913980,0.061313,0.823790,0.827940,0.089896
157,sh.600745,2020-08-31,2020-06-30,0.077730,2.794155,0.394344,0.971888,0.072585,0.839191,0.874682,0.098886
158,sh.600745,2020-10-31,2020-09-30,0.090524,2.527574,0.612346,0.980868,0.059628,0.824452,0.846225,0.085468
159,sh.600745,2021-04-30,2020-12-31,0.096134,2.488057,0.827158,0.981996,0.047568,0.927602,0.825138,0.062149
160,sh.600809,2019-04-27,2019-03-31,0.131810,1.862668,0.327249,0.929893,0.232541,0.730894,0.952631,0.333980
161,sh.600809,2019-08-27,2019-06-30,0.184267,1.964583,0.502598,0.940400,0.198447,0.715626,0.981045,0.282663
162,sh.600809,2019-10-26,2019-09-30,0.251859,1.931315,0.701791,0.935958,0.198536,0.713345,0.991008,0.280842
163,sh.600809,2020-04-28,2019-12-31,0.283799,2.042055,0.851718,0.943968,0.172858,0.721791,1.038353,0.230640
164,sh.600809,2020-04-28,2020-03-31,0.151920,1.923940,0.266904,0.991679,0.298329,0.771020,1.008116,0.383812
165,sh.600809,2020-08-25,2020-06-30,0.204054,2.026027,0.433013,0.993063,0.234219,0.746459,1.013547,0.309579
166,sh.600809,2020-10-30,2020-09-30,0.296687,2.015161,0.620580,0.994068,0.238657,0.745509,1.014210,0.315641
167,sh.600809,2021-04-27,2020-12-31,0.357553,2.081195,0.780544,0.988245,0.222724,0.735460,1.017643,0.297586
168,sh.600837,2019-04-26,2019-03-31,0.031351,4.933973,,0.919704,0.411823,0.770744,,
169,sh.600837,2019-08-31,2019-06-30,0.046006,4.984439,,0.910740,0.342161,0.758163,,
170,sh.600837,2019-10-31,2019-09-30,0.061064,5.002402,,0.914653,0.321099,0.757804,,
171,sh.600837,2020-03-27,2019-12-31,0.078076,4.965851,,0.903477,0.306160,0.759856,,
172,sh.600837,2020-04-29,2020-03-31,0.017980,5.193064,,0.999628,0.326864,0.724222,,
173,sh.600837,2020-08-29,2020-06-30,0.042634,5.125259,,0.929125,0.331773,0.754712,,
174,sh.600837,2020-10-30,2020-09-30,0.060613,4.870542,,0.918829,0.327507,0.754195,,
175,sh.600837,2021-03-31,2020-12-31,0.077809,4.760927,,0.903480,0.314947,0.763914,,
176,sh.600887,2019-04-26,2019-03-31,0.083937,1.845325,0.462306,0.997941,0.098593,0.835795,1.040084,0.113417
177,sh.600887,2019-08-30,2019-06-30,0.141781,1.871556,0.903142,0.995290,0.084277,0.849605,1.034390,0.095898
178,sh.600887,2019-10-31,2019-09-30,0.215455,1.927291,1.363505,0.996851,0.082247,0.851353,1.006650,0.095970
179,sh.600887,2020-04-29,2019-12-31,0.256585,1.999524,1.669755,0.997560,0.077039,0.848259,1.009488,0.089967
180,sh.600887,2020-04-29,2020-03-31,0.043143,2.465440,0.316225,0.991842,0.055792,0.865350,0.966632,0.066699
181,sh.600887,2020-08-28,2020-06-30,0.144463,2.492654,0.737445,0.994217,0.079047,0.861415,0.999401,0.091819
182,sh.600887,2020-10-30,2020-09-30,0.220948,2.508139,1.078719,0.996802,0.081926,0.854684,1.005329,0.095347
183,sh.600887,2021-04-29,2020-12-31,0.250489,2.328863,1.472252,0.997075,0.073271,0.871052,1.007104,0.083525
184,sh.600893,2019-04-27,2019-03-31,0.000148,2.052936,0.061498,0.407671,0.002870,0.452854,0.159791,0.039665
185,sh.600893,2019-08-24,2019-06-30,0.012197,2.119674,0.157255,0.950066,0.038514,0.840075,0.690593,0.066386
